Quel âge avez-vous?;Quels outils utilisez-vous pour le wireframing?;Dans quel pays vivez-vous?;Quels outils utilisez-vous pour le design d'interface?;Quel métier pratiquez-vous dans le domaine du web ?;Quels outils utilisez-vous pour le prototypage?;Quels outils utilisez-vous pour le brainstorming?;Combien d'années d'expérience avez-vous?;Combien de designers travaillent dans votre organisation?;Quels outils utilisez-vous pour communiquer dans votre équipe?;Dans quel genre d'organisation travaillez-vous?;Quels CMS ou Frameworks de code utilisez-vous?;Quels outils utilisez-vous pour l'édition du code?;Quels outils utilisez-vous pour gérer des systèmes de design?;Quels outils utilisez-vous pour la gestion de versions et de fichiers?
20 à 29;Papier;Suisse;HTML / CSS;développeur web;HTML / CSS;Papier;1 à 5;2 à 5;;Startup dans la conception;Bootstrap, Django, WordPress, Laravel;Visual Studio Code;;Github
40 à 49;Papier, Figma, Illustrator;France;Figma, Illustrator, Photoshop;intégrateur web, graphiste web, webdesigner, webmaster, chef de projet;Figma, HTML / CSS;Papier, Illustrator;15 à 20;Seulement moi;Slack;Agence, Freelance;WordPress;Sublime Text;Figma;Github
40 à 49;HTML / CSS, Papier;Belgique;HTML / CSS, Illustrator;webdesigner, webmaster, graphiste web, chargé de production vidéo, UX designer, UI designer, développeur web, intégrateur web, ergonome web;HTML / CSS;Papier;1 à 5;Seulement moi;Slack;Freelance;Drupal, WordPress;Sublime Text; ;Github
40 à 49;Balsamiq, Sketch;France;HTML / CSS, Illustrator, Photoshop, Sketch;chef de projet, développeur web, consultant en référencement naturel, Directeur agence;HTML / CSS, Sketch;Sketch, Freemind ;10 à 15;2 à 5;Slack, Zoom;Agence web;WordPress;PHP Storm ;;Github, Bitbucket
30 à 39;Papier, Adobe XD;France;Adobe XD, Illustrator, Photoshop;développeur web, intégrateur web, webdesigner, UX designer, UI designer;Adobe XD;Papier, Illustrator, InDesign, Photoshop;10 à 15;Seulement moi;Slack;Freelance;WordPress;Sublime Text;Craft;Github
30 à 39;Papier, Adobe XD;Suisse;Adobe XD, Illustrator, Photoshop;webmaster, concepteur web, développeur web, intégrateur web;Adobe XD;Papier;1 à 5;2 à 5;Slack, ActiveCollab;Agence de communication;WordPress;PHP Storm;;Github, Bitbucket
30 à 39;Papier;France;HTML / CSS;concepteur web, développeur web, webdesigner; ;Papier;5 à 10;Seulement moi;SMS, Messenger;Indépendant;WordPress;Brackets; ; 
20 à 29;Papier, Balsamiq;Belgique;Photoshop, Sketch;concepteur web, chef de projet, intégrateur web, graphiste web;Sketch, InVision;Papier;5 à 10;2 à 5;Slack, Trello;Agence de communication;WordPress, Foundation;Sublime Text;Sketch Libraries;Bitbucket 
20 à 29;Sketch;Belgique;Sketch;concepteur web, architecte web, ergonome web, graphiste web, webdesigner, webmaster, chargé de production vidéo, interactive media designer, UX designer, UI designer, intégrateur web;Sketch, Marvel;Papier;1 à 5;Seulement moi;Skype;PME - Éducation online - langue vivante;Bootstrap, WordPress;IntelliJ;Sketch Libraries;Github
30 à 39;Adobe XD, Balsamiq;France;Photoshop;développeur web, intégrateur web;Axure, InVision;Papier;10 à 15;2 à 5;Slack;Studio de communication;WordPress;Atom;Craft;Bitbucket
30 à 39;;France;Photoshop, Affinity Designer;intégrateur web;HTML / CSS;Papier;10 à 15;Seulement moi;Slack;Freelance;WordPress, Bootstrap;Sublime Text;;Dropbox, Github, Google Drive
30 à 39;Balsamiq, HTML / CSS;France;HTML / CSS, Sketch;Directeur technique en agence (CTO);HTML / CSS, Sketch;Papier, Sketch;10 à 15;2 à 5;Slack;Agence web;WordPress;Coda;Zeplin, Sketch Libraries;Github, Bitbucket
40 à 49;HTML / CSS;France;HTML / CSS;architecte d’information;HTML / CSS;Papier;20 à 30;Seulement moi;Mattermost;Entreprise;Bootstrap, WordPress;Emacs;;Gitlab
20 à 29;Papier, Elementor ( plugin wordpress);France;Photoshop, Sketch;intégrateur web, webmaster, concepteur web, développeur web;;Papier;5 à 10;Seulement moi;Slack;Freelance;WordPress;Bracket;Zeplin;Google Drive
30 à 39;Papier, Sketch;France;Sketch;UX designer;Sketch;Papier;5 à 10;Seulement moi;Slack, Skype, Hangout, Zoom;Freelance;WordPress;Atom;Sketch Libraries;Dropbox, Google Drive
